,time_id,flow_num
0,08:0,2656
1,08:1,5359
2,08:10,8855
3,08:11,11979
4,08:2,15269
5,08:3,19722
6,08:4,23814
7,08:5,28218
8,08:6,32833
9,08:7,37944
10,08:8,43171
11,08:9,47684
12,09:0,50278
13,09:1,52654
14,09:10,53759
15,09:11,54644
16,09:2,56951
17,09:3,59049
18,09:4,60871
19,09:5,62715
20,09:6,64458
21,09:7,65682
22,09:8,67203
23,09:9,68477
