,time_id,flow_num
0,08:0,3222
1,08:1,6747
2,08:10,9108
3,08:11,11272
4,08:2,14822
5,08:3,18558
6,08:4,22320
7,08:5,26131
8,08:6,29825
9,08:7,33221
10,08:8,36341
11,08:9,39088
12,09:0,41394
13,09:1,43680
14,09:10,44871
15,09:11,46020
16,09:2,48323
17,09:3,50442
18,09:4,52296
19,09:5,53926
20,09:6,55414
21,09:7,56775
22,09:8,58127
23,09:9,59358
