,time_id,flow_num
0,08:0,2656
1,08:1,2703
2,08:10,3496
3,08:11,3124
4,08:2,3290
5,08:3,4453
6,08:4,4092
7,08:5,4404
8,08:6,4615
9,08:7,5111
10,08:8,5227
11,08:9,4513
12,09:0,2594
13,09:1,2376
14,09:10,1105
15,09:11,885
16,09:2,2307
17,09:3,2098
18,09:4,1822
19,09:5,1844
20,09:6,1743
21,09:7,1224
22,09:8,1521
23,09:9,1274
